Baden-Wuerttemberg,Bayern,Brandenburg,Berlin,Bremen,Hessen,Jahr,Jahr.1,Mecklenburg-Vorpommern,Niedersachsen,Hamburg,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen,
8.41,7.69,8.62,8.63,8.84,8.71,1976,year,8.01,8.84,8.84,9.41,9.19,9.56,8.14,8.77,8.4,7.86,
8.56,8.02,9.07,9.08,9.07,8.67,1977,year,8.46,9.06,9.07,9.31,8.89,9.15,8.49,9.08,8.6,8.08,
7.54,6.91,8.4,8.41,8.28,7.75,1978,year,7.83,8.28,8.28,8.48,7.96,8.13,7.64,8.28,7.95,7.16,
8.01,7.37,8.01,8.03,7.77,7.65,1979,year,7.31,7.77,7.77,8.22,8.07,8.4,7.67,7.98,7.23,7.06,
7.52,6.88,7.73,7.74,8.16,7.71,1980,year,7.33,8.16,8.16,8.62,8.07,8.29,7.23,7.92,7.69,6.95,
8.1,7.52,8.65,8.66,8.55,8.08,1981,year,8.13,8.55,8.55,8.86,8.51,8.87,8.02,8.62,8.03,7.53,
8.64,8.06,9.44,9.46,9.3,8.82,1982,year,8.68,9.3,9.3,9.69,9.09,9.51,9.0,9.55,8.69,8.45,
8.78,8.19,9.66,9.68,9.53,8.87,1983,year,9.07,9.53,9.53,9.7,9.2,9.55,9.03,9.63,9.12,8.4,
7.7,7.06,8.4,8.41,8.5,7.93,1984,year,8.02,8.5,8.5,8.86,8.29,8.69,7.72,8.41,8.21,7.25,
7.42,6.71,7.89,7.91,7.81,7.28,1985,year,7.24,7.8,7.81,8.03,7.71,8.15,7.33,7.88,7.36,6.76,
7.89,7.33,8.24,8.26,8.24,7.93,1986,year,7.75,8.24,8.24,8.6,8.29,8.63,7.79,8.2,7.78,7.27,
7.68,6.96,7.53,7.55,7.73,7.42,1987,year,7.08,7.73,7.73,8.23,7.93,8.33,7.01,7.53,7.32,6.63,
8.89,8.32,9.49,9.5,9.51,9.04,1988,year,8.99,9.51,9.51,9.75,9.35,9.6,8.78,9.56,9.08,8.46,
9.04,8.44,10.14,10.15,9.99,9.38,1989,year,9.7,9.99,9.99,10.26,9.67,9.93,9.52,10.12,9.6,8.95,
9.13,8.45,10.11,10.12,10.08,9.38,1990,year,9.76,10.08,10.08,10.2,9.7,9.99,9.42,10.07,9.73,8.83,
8.22,7.44,8.93,8.94,8.8,8.27,1991,year,8.42,8.8,8.8,9.01,8.69,9.11,8.16,8.8,8.46,7.67,
9.12,8.6,9.9,9.91,9.9,9.22,1992,year,9.34,9.89,9.9,9.97,9.54,9.82,9.3,9.91,9.53,8.7,
8.57,7.97,8.82,8.83,8.64,8.53,1993,year,8.15,8.64,8.64,9.08,8.93,9.28,8.26,8.75,8.17,7.79,
9.88,9.35,9.89,9.9,9.84,9.74,1994,year,9.23,9.84,9.84,10.26,10.14,10.54,9.45,9.97,9.31,9.11,
8.77,8.14,9.2,9.21,9.32,8.93,1995,year,8.65,9.32,9.32,9.77,9.43,9.82,8.54,9.29,8.86,8.22,
7.42,6.7,7.35,7.36,7.47,7.21,1996,year,6.93,7.46,7.47,7.93,7.78,8.3,6.63,7.28,7.16,6.39,
8.81,8.14,9.22,9.24,9.36,8.88,1997,year,8.78,9.35,9.36,9.65,9.25,9.69,8.46,9.26,8.96,8.25,
8.92,8.41,9.48,9.49,9.48,8.97,1998,year,8.89,9.48,9.48,9.69,9.25,9.49,8.89,9.59,8.99,8.54,
9.05,8.48,10.04,10.05,10.22,9.46,1999,year,9.55,10.21,10.22,10.35,9.76,9.9,9.18,10.1,9.65,8.87,
9.71,9.12,10.39,10.41,10.27,9.77,2000,year,9.74,10.27,10.27,10.5,10.09,10.29,9.82,10.39,9.81,9.36,
9.0,8.32,9.21,9.22,9.41,9.1,2001,year,8.78,9.41,9.41,9.85,9.53,9.73,8.62,9.35,8.85,8.45,
9.55,8.98,9.75,9.76,9.88,9.55,2002,year,9.42,9.88,9.88,10.28,10.05,10.29,9.2,9.7,9.62,8.84,
9.45,8.76,9.48,9.5,9.66,9.5,2003,year,9.04,9.66,9.66,10.14,10.07,10.62,9.01,9.63,9.2,8.74,
8.7,8.17,9.29,9.3,9.54,8.87,2004,year,8.95,9.53,9.54,9.58,9.23,9.54,8.62,9.34,9.12,8.29,
8.6,7.97,9.31,9.33,9.64,9.13,2005,year,9.06,9.64,9.64,9.88,9.54,9.85,8.59,9.42,9.24,8.4,
9.19,8.55,9.96,9.98,10.23,9.49,2006,year,9.66,10.22,10.23,10.35,9.94,10.26,9.24,10.02,9.88,8.87,
9.47,9.05,10.34,10.35,10.41,9.76,2007,year,9.95,10.41,10.41,10.48,10.12,10.32,9.68,10.34,10.04,9.28,
9.08,8.73,10.11,10.12,9.99,9.35,2008,year,9.71,9.99,9.99,9.87,9.55,9.73,9.41,10.01,9.74,8.95,
9.0,8.45,9.47,9.48,9.71,9.13,2009,year,9.08,9.71,9.71,9.81,9.58,9.85,8.91,9.54,9.28,8.58,
7.93,7.34,8.08,8.09,8.11,7.9,2010,year,7.69,8.11,8.11,8.43,8.37,8.71,7.46,7.99,7.67,7.2,
9.64,8.91,9.92,9.94,9.98,9.68,2011,year,9.44,9.99,9.98,10.38,10.19,10.46,9.37,9.98,9.4,9.12,
9.08,8.53,9.35,9.36,9.45,9.06,2012,year,8.85,9.45,9.45,9.66,9.46,9.72,8.86,9.44,8.8,8.59,
8.56,8.1,9.18,9.19,9.06,8.66,2013,year,8.89,9.06,9.06,9.2,8.98,9.22,8.39,9.07,8.78,8.08,
10.14,9.6,10.66,10.67,10.8,10.31,2014,year,10.24,10.79,10.8,10.95,10.67,10.93,10.14,10.68,10.48,9.79,
9.89,9.43,10.35,10.36,10.15,9.91,2015,year,9.76,10.15,10.15,10.35,10.25,10.5,9.93,10.32,9.71,9.5,
